job_title,employee_residence,experience_level,employment_type,salary_in_usd
Machine Learning Engineer,US,MI,FT,200200
Machine Learning Engineer,US,MI,FT,186915
Software Engineer,US,MI,FT,240240
Software Engineer,US,MI,FT,221596
Machine Learning Engineer,US,SE,FT,240240
Machine Learning Engineer,US,SE,FT,205364
Software Engineer,US,MI,FT,240240
Software Engineer,US,MI,FT,214032
Software Engineer,US,SE,FT,342000
Software Engineer,US,SE,FT,264000
Software Engineer,US,MI,FT,264200
Software Engineer,US,MI,FT,143100
Machine Learning Scientist,US,SE,FT,264200
Machine Learning Scientist,US,SE,FT,143100
Research Scientist,US,SE,FT,239000
Research Scientist,US,SE,FT,161000
Data Engineer,US,SE,FT,196900
Data Engineer,US,SE,FT,180835
Data Engineer,US,MI,FT,194600
Data Engineer,US,MI,FT,116200
Data Engineer,US,EX,FT,239662
Data Engineer,US,EX,FT,143858
Data Engineer,US,MI,FT,208800
Data Engineer,US,MI,FT,98300
Data Engineer,GB,MI,FT,68750
Data Engineer,GB,MI,FT,56250
Data Engineer,GB,SE,FT,75000
Data Engineer,GB,SE,FT,62500
Data Engineer,US,SE,FT,296300
Data Engineer,US,SE,FT,166600
Research Scientist,US,MI,FT,173000
Research Scientist,US,MI,FT,117000
Data Analyst,US,MI,FT,205700
Data Analyst,US,MI,FT,197412
Data Analyst,US,MI,FT,100000
Data Analyst,US,MI,FT,85000
Data Analyst,US,EN,FT,116425
Data Analyst,US,EN,FT,74500
Data Analyst,US,EN,FT,78000
Data Analyst,US,EN,FT,64000
Data Scientist,US,SE,FT,314000
Data Scientist,US,SE,FT,221000
Data Scientist,US,SE,FT,266000
Data Scientist,US,SE,FT,177000
Data Scientist,US,EN,FT,174600
Data Scientist,US,EN,FT,81900
Data Scientist,US,MI,FT,127950
Data Scientist,US,MI,FT,81900
Data Scientist,US,MI,FT,127950
Data Scientist,US,MI,FT,81900
Data Scientist,US,MI,FT,127950
Data Scientist,US,MI,FT,81900
Data Scientist,US,SE,FT,312200
Data Scientist,US,SE,FT,175800
Software Engineer,CA,SE,FT,131990
Software Engineer,CA,SE,FT,87930
Software Engineer,CA,SE,FT,199700
Software Engineer,CA,SE,FT,108100
Research Engineer,US,SE,FT,138000
Research Engineer,US,SE,FT,86000
Software Engineer,US,MI,FT,240240
Software Engineer,US,MI,FT,214032
Software Engineer,US,MI,FT,158400
Software Engineer,US,MI,FT,137611
Software Engineer,US,MI,FT,290180
Software Engineer,US,MI,FT,268484
Analytics Engineer,US,SE,FT,312800
Analytics Engineer,US,SE,FT,167500
Applied Scientist,US,SE,FT,355000
Applied Scientist,US,SE,FT,194000
Applied Scientist,US,SE,FT,337250
Applied Scientist,US,SE,FT,184300
Applied Scientist,US,SE,FT,240000
Applied Scientist,US,SE,FT,114000
Applied Scientist,US,SE,FT,359000
Applied Scientist,US,SE,FT,136000
Software Engineer,US,SE,FT,194750
Software Engineer,US,SE,FT,129960
Software Engineer,US,SE,FT,280000
Software Engineer,US,SE,FT,136800
Software Engineer,CA,MI,FT,205000
Software Engineer,CA,MI,FT,136800
Software Engineer,US,SE,FT,690000
Software Engineer,US,SE,FT,410000
Software Engineer,US,SE,FT,690000
Software Engineer,US,SE,FT,410000
Data Engineer,US,MI,FT,205000
Data Engineer,US,MI,FT,136800
Data Engineer,US,MI,FT,237500
Data Engineer,US,MI,FT,137750
Data Engineer,US,SE,FT,205000
Data Engineer,US,SE,FT,136800
Data Engineer,US,SE,FT,205000
Data Engineer,US,SE,FT,136800
Software Engineer,US,SE,FT,337250
Software Engineer,US,SE,FT,184300
Machine Learning Engineer,US,MI,FT,250000
Machine Learning Engineer,US,MI,FT,145000
Research Scientist,US,MI,FT,410000
Research Scientist,US,MI,FT,194000
Research Engineer,US,SE,FT,410000
Research Engineer,US,SE,FT,355000
Machine Learning Engineer,US,SE,FT,355000
